id,question,option_a,option_b,option_c,option_d,correct_answer
HTML-01,What does HTML stand for?,HyperText Markup Language,HighText Machine Language,HyperTool Mark Language,HomeText Markup Language,a
HTML-02,Which tag is used to create a heading?,<p>,<h1>,<img>,<br>,b
HTML-03,Which tag is used to create a paragraph?,<p>,<head>,<title>,<body>,a
HTML-04,Which tag is used to add an image?,<link>,<img>,<image>,<photo>,b
HTML-05,Which tag is used to create a link?,<a>,<p>,<div>,<span>,a
HTML-06,Which part of an HTML page contains the visible content?,<head>,<title>,<body>,<meta>,c
HTML-07,Which tag creates a line break?,<br>,<hr>,<break>,<line>,a
HTML-08,Which attribute is used to show the image source?,href,src,alt,style,b
HTML-09,Which tag is used to create an ordered list?,<ul>,<li>,<ol>,<list>,c
HTML-10,Which tag is used to create a table row?,<table>,<tr>,<td>,<th>,b
CSS-01,What does CSS stand for?,Cascading Style Sheets,Computer Style Sheets,Creative Style System,Colorful Sheet Styles,a
CSS-02,Which property changes text color?,font-size,background,color,text-style,c
CSS-03,Which property changes the background color?,background-color,text-color,font-color,border-color,a
CSS-04,Which CSS selector selects an element by class?,#className,.className,className,*className,b
CSS-05,Which CSS selector selects an element by ID?,.idName,idName,#idName,*idName,c
CSS-06,Which property changes the size of text?,font-size,text-color,font-weight,width,a
CSS-07,Which property makes text bold?,font-style,font-weight,text-align,display,b
CSS-08,Which property is used to center text?,text-align,align-text,center,justify-content,a
CSS-09,Which value hides an element from the page layout?,display: none;,display: block;,display: flex;,display: inline;,a
CSS-10,Which property adds space inside an element?,margin,padding,border,outline,b
JS-01,Which language is mainly used to add interactivity to a webpage?,HTML,CSS,JavaScript,SQL,c
JS-02,Which keyword is commonly used to create a variable?,var,image,style,link,a
JS-03,Which symbol is used for comments on one line in JavaScript?,//,<!-- -->,#,**,a
JS-04,Which method shows a message in a popup box?,console.log(),alert(),promptText(),show(),b
JS-05,Which method prints text in the browser console?,alert(),document.write(),console.log(),print.console(),c
JS-06,What is the result of 2 + 3 in JavaScript?,23,5,6,Error,b
JS-07,Which value means true or false?,String,Number,Boolean,Array,c
JS-08,Which brackets are used to make an array?,(),{},[],<>,c
JS-09,Which keyword is used to create a function?,function,create,method,newFunction,a
JS-10,Which operator is used to assign a value to a variable?,==,=,+,===,b
